start,end,name,dna
112504,113733,CA_C0102,Genome
113743,114345,CA_C0103,Genome
114356,116035,CA_C0104,Genome
116025,116339,CA_C0105,Genome
116281,117387,CA_C0106,Genome
117424,118263,CA_C0107,Genome
118175,118972,CA_C0108,Genome
118985,119785,CA_C0109,Genome
119799,121367,CA_C0110,Genome
121795,123228,CA_C0111,Genome
123225,123962,CA_C0112,Genome
124089,124850,CA_C0113,Genome
124880,125407,CA_C0114,Genome
125487,125900,CA_C0115,Genome
125985,127874,CA_C0116,Genome
128104,128469,CA_C0117,Genome
128492,130441,CA_C0118,Genome
130495,131001,CA_C0119,Genome
131002,132669,CA_C0120,Genome
132669,133481,CA_C0121,Genome
133639,134019,CA_C0122,Genome
134203,134646,CA_C0123,Genome
134856,135320,CA_C0124,Genome
136415,138043,CA_C0125,Genome
138142,138480,CA_C0126,Genome
138573,139169,CA_C0127,Genome
139230,139490,CA_C0128,Genome
139498,139770,CA_C0129,Genome
139820,140422,CA_C0130,Genome
141011,141409,CA_C0132,Genome
141707,142213,CA_C0133,Genome
142296,142547,CA_C0134,Genome
142911,143291,CA_C0135,Genome
144586,145524,CA_C0138,Genome
145505,146719,CA_C0139,Genome
146743,147960,CA_C0140,Genome
147989,148828,CA_C0141,Genome
148741,148983,CA_C0142,Genome
148910,149080,CA_C0143,Genome
149489,150181,CA_C0144,Genome
150238,150762,CA_C0145,Genome
150796,151983,CA_C0146,Genome
151964,152920,CA_C0147,Genome
153410,154096,CA_C0148,Genome
154630,154824,CA_C0149,Genome
154868,155533,CA_C0150,Genome
155554,156714,CA_C0151,Genome
156963,157901,CA_C0152,Genome
173555,174223,CA_C0153,Genome
174484,175929,CA_C0154,Genome
175951,178005,CA_C0155,Genome
177998,178438,CA_C0156,Genome
178440,179594,CA_C0157,Genome
180165,181991,CA_C0158,Genome
182366,182713,CA_C0159,Genome
182984,183433,CA_C0160,Genome
183692,184990,CA_C0161,Genome
185565,186038,CA_C0162,Genome
187399,188181,CA_C0164,Genome
188201,189556,CA_C0165,Genome
189616,190083,CA_C0166,Genome
190289,190975,CA_C0167,Genome
191046,191867,CA_C0168,Genome
192044,192976,CA_C0169,Genome
192999,194261,CA_C0170,Genome
194281,195456,CA_C0171,Genome
195478,195657,CA_C0172,Genome
195829,196959,CA_C0173,Genome
197025,197666,CA_C0174,Genome
198166,199074,CA_C0175,Genome
199128,200837,CA_C0176,Genome
200978,201946,CA_C0177,Genome
201958,202863,CA_C0178,Genome
202875,203852,CA_C0179,Genome
203853,204818,CA_C0180,Genome
205005,206060,CA_C0181,Genome
206069,207631,CA_C0182,Genome
207645,208565,CA_C0183,Genome
208566,209528,CA_C0184,Genome
209515,210663,CA_C0185,Genome
210917,212221,CA_C0186,Genome
212470,213195,CA_C0187,Genome
213176,214321,CA_C0188,Genome
214335,215066,CA_C0189,Genome
215162,215944,CA_C0190,Genome
216117,216968,CA_C0191,Genome
216985,218061,CA_C0192,Genome
218146,220149,CA_C0193,Genome
220146,221126,CA_C0194,Genome
221433,221780,CA_C0195,Genome
221908,222963,CA_C0196,Genome
223143,223565,CA_C0197,Genome
223587,224270,CA_C0198,Genome
225034,225726,CA_C0200,Genome
225955,226539,CA_C0201,Genome
226827,227993,CA_C0202,Genome
228090,228542,CA_C0203,Genome
228731,229315,CA_C0204,Genome
229452,231410,CA_C0205,Genome
231611,232804,CA_C0206,Genome
233012,233686,CA_C0207,Genome
233918,234559,CA_C0208,Genome
234638,235333,CA_C0209,Genome
235400,236386,CA_C0210,Genome
236407,236961,CA_C0211,Genome
237128,237937,CA_C0212,Genome
238049,238528,CA_C0213,Genome
238706,239746,CA_C0214,Genome
239737,240747,CA_C0215,Genome
240749,241690,CA_C0216,Genome
241803,242630,CA_C0217,Genome
243640,244239,CA_C0219,Genome
244364,245215,CA_C0220,Genome
245340,246473,CA_C0221,Genome
246602,247354,CA_C0222,Genome
247841,248962,CA_C0223,Genome
248980,249651,CA_C0224,Genome
249648,250667,CA_C0225,Genome
250770,251540,CA_C0226,Genome
251527,253431,CA_C0227,Genome
253559,253861,CA_C0228,Genome
259648,261075,CA_C0229,Genome
261075,262373,CA_C0230,Genome
262569,263333,CA_C0231,Genome
263348,264277,CA_C0232,Genome
264282,264725,CA_C0233,Genome
264792,266168,CA_C0234,Genome
266321,266959,CA_C0235,Genome
267125,268057,CA_C0236,Genome
268077,269141,CA_C0237,Genome
269138,270202,CA_C0238,Genome
270213,271319,CA_C0239,Genome
271300,271926,CA_C0240,Genome
272102,273034,CA_C0241,Genome
273046,274182,CA_C0242,Genome
274179,275291,CA_C0243,Genome
275471,276628,CA_C0244,Genome
276621,277337,CA_C0245,Genome
277378,277740,CA_C0246,Genome
277730,278044,CA_C0247,Genome
278146,278415,CA_C0248,Genome
278812,279192,CA_C0249,Genome
279643,281709,CA_C0250,Genome
282134,282346,CA_C0251,Genome
282379,283338,CA_C0252,Genome
283892,284710,CA_C0253,Genome
284854,285180,CA_C0254,Genome
285192,285569,CA_C0255,Genome
285591,287186,CA_C0256,Genome
287186,288550,CA_C0257,Genome
288647,290047,CA_C0258,Genome
290063,292711,CA_C0259,Genome
292728,293798,CA_C0260,Genome
293779,294576,CA_C0261,Genome
294652,295164,CA_C0262,Genome
295415,296158,CA_C0263,Genome
296723,297475,CA_C0264,Genome
297523,297888,CA_C0265,Genome
297891,298595,CA_C0266,Genome
298777,299718,CA_C0267,Genome
299789,300565,CA_C0268,Genome
300522,302198,CA_C0269,Genome
302259,302996,CA_C0270,Genome
303253,303669,CA_C0271,Genome
303812,305674,CA_C0272,Genome
306119,307795,CA_C0273,Genome
308310,309707,CA_C0274,Genome
309860,310327,CA_C0275,Genome
315846,316103,CA_C0276,Genome
316245,317363,CA_C0277,Genome
317446,318759,CA_C0278,Genome
319051,319794,CA_C0279,Genome
319860,320669,CA_C0280,Genome
320690,321529,CA_C0281,Genome
321564,322850,CA_C0282,Genome
323228,323743,CA_C0283,Genome
323841,324578,CA_C0284,Genome
324603,325793,CA_C0285,Genome
325921,326655,CA_C0286,Genome
326661,327407,CA_C0287,Genome
327408,328136,CA_C0288,Genome
328308,329015,CA_C0289,Genome
329029,330432,CA_C0290,Genome
346424,348214,CA_C0291,Genome
348211,348435,CA_C0292,Genome
349282,350202,CA_C0293,Genome
350221,351168,CA_C0294,Genome
351289,352431,CA_C0295,Genome
352628,352843,CA_C0296,Genome
352867,354312,CA_C0297,Genome
354331,354918,CA_C0298,Genome
354992,355321,CA_C0299,Genome
355339,356283,CA_C0300,Genome
356285,357196,CA_C0301,Genome
357210,357413,CA_C0302,Genome
357529,357699,CA_C0303,Genome
357957,358745,CA_C0304,Genome
358748,359518,CA_C0305,Genome
359629,360363,CA_C0306,Genome
360376,361224,CA_C0307,Genome
361369,362547,CA_C0308,Genome
362633,363748,CA_C0309,Genome
363819,364064,CA_C0310,Genome
364518,365894,CA_C0311,Genome
366191,366847,CA_C0312,Genome
366858,367514,CA_C0313,Genome
368391,368984,CA_C0314,Genome
368996,369529,CA_C0315,Genome
369712,370713,CA_C0316,Genome
370955,372451,CA_C0317,Genome
372470,373648,CA_C0318,Genome
373670,374356,CA_C0319,Genome
374370,375566,CA_C0320,Genome
375646,376338,CA_C0321,Genome
376662,377900,CA_C0322,Genome
378192,380156,CA_C0323,Genome
380405,381712,CA_C0324,Genome
382648,383262,CA_C0325,Genome
383330,384661,CA_C0326,Genome
384804,385259,CA_C0327,Genome
385663,386442,CA_C0328,Genome
386537,388354,CA_C0329,Genome
388464,389282,CA_C0330,Genome
389645,390223,CA_C0331,Genome
390304,391371,CA_C0332,Genome
392028,394388,CA_C0333,Genome
394385,394885,CA_C0334,Genome
395220,396425,CA_C0335,Genome
396432,396956,CA_C0336,Genome
396946,397365,CA_C0337,Genome
397764,398930,CA_C0338,Genome
398940,399965,CA_C0339,Genome
400478,401134,CA_C0341,Genome
401180,401902,CA_C0342,Genome
401959,402330,CA_C0343,Genome
403088,403327,CA_C0344,Genome
403554,403760,CA_C0345,Genome
403935,404126,CA_C0346,Genome
404123,404377,CA_C0347,Genome
404470,404964,CA_C0348,Genome
405631,405840,CA_C0349,Genome
405906,406247,CA_C0350,Genome
406351,406872,CA_C0351,Genome
406790,407467,CA_C0352,Genome
407554,411135,CA_C0353,Genome
411418,413052,CA_C0354,Genome
413374,414915,CA_C0355,Genome
414952,415593,CA_C0356,Genome
415725,417266,CA_C0357,Genome
417308,418108,CA_C0358,Genome
418204,419289,CA_C0359,Genome
419727,420713,CA_C0360,Genome
421026,421808,CA_C0361,Genome
422063,422470,CA_C0362,Genome
422605,423309,CA_C0363,Genome
424172,425119,CA_C0365,Genome
425216,426121,CA_C0366,Genome
426145,427794,CA_C0367,Genome
427861,429147,CA_C0368,Genome
429193,429705,CA_C0369,Genome
429938,433438,CA_C0370,Genome
433681,434367,CA_C0371,Genome
434395,435399,CA_C0372,Genome
435542,436306,CA_C0373,Genome
436296,437612,CA_C0374,Genome
437635,438795,CA_C0375,Genome
439419,440300,CA_C0376,Genome
440321,440971,CA_C0377,Genome
440983,441714,CA_C0378,Genome
441794,442444,CA_C0379,Genome
442633,443451,CA_C0380,Genome
443742,444590,CA_C0381,Genome
444719,447409,CA_C0382,Genome
447650,447970,CA_C0383,Genome
447996,448304,CA_C0384,Genome
448329,449738,CA_C0385,Genome
449795,451147,CA_C0386,Genome
451331,451609,CA_C0387,Genome
452292,452984,CA_C0388,Genome
453595,453753,CA_C0389,Genome
453741,454895,CA_C0390,Genome
454916,456049,CA_C0391,Genome
456575,457030,CA_C0392,Genome
457385,458419,CA_C0393,Genome
458513,459139,CA_C0394,Genome
459425,460372,CA_C0395,Genome
460377,461003,CA_C0396,Genome
461009,461557,CA_C0397,Genome
461828,462130,CA_C0398,Genome
462271,463545,CA_C0399,Genome
463562,463813,CA_C0400,Genome
464025,464168,CA_C0401,Genome
464433,464939,CA_C0402,Genome
465384,467558,CA_C0403,Genome
467702,469675,CA_C0404,Genome
469686,469943,CA_C0405,Genome
469965,471515,CA_C0406,Genome
471526,472305,CA_C0407,Genome
472331,476905,CA_C0408,Genome
476915,477169,CA_C0409,Genome
477184,477453,CA_C0410,Genome
477526,477828,CA_C0411,Genome
477956,479092,CA_C0412,Genome
479079,479384,CA_C0413,Genome
479915,480895,CA_C0414,Genome
481116,482426,CA_C0415,Genome
482450,483580,CA_C0416,Genome
483779,484117,CA_C0417,Genome
484196,484846,CA_C0418,Genome
485013,486128,CA_C0419,Genome
486326,487156,CA_C0420,Genome
487214,487762,CA_C0421,Genome
488038,488886,CA_C0422,Genome
489027,490910,CA_C0423,Genome
490986,491936,CA_C0424,Genome
491937,493409,CA_C0425,Genome
493490,494356,CA_C0426,Genome
494511,495425,CA_C0427,Genome
495448,496269,CA_C0428,Genome
496302,497645,CA_C0429,Genome
497656,498405,CA_C0430,Genome
498497,499372,CA_C0431,Genome
499814,500827,CA_C0432,Genome
500877,502202,CA_C0433,Genome
502242,502709,CA_C0434,Genome
502831,503004,CA_C0435,Genome
503283,504170,CA_C0436,Genome
504464,506377,CA_C0437,Genome
506486,506728,CA_C0438,Genome
507140,507436,CA_C0439,Genome
507499,507936,CA_C0440,Genome
508089,508868,CA_C0441,Genome
508897,510231,CA_C0442,Genome
510524,512233,CA_C0443,Genome
512324,513505,CA_C0444,Genome
513785,514543,CA_C0445,Genome
514560,515180,CA_C0446,Genome
515264,515491,CA_C0447,Genome
515491,517254,CA_C0448,Genome
517335,517805,CA_C0449,Genome
517926,518609,CA_C0450,Genome
518610,519860,CA_C0451,Genome
521468,522151,CA_C0453,Genome
522148,524646,CA_C0454,Genome
524759,524992,CA_C0455,Genome
525052,527412,CA_C0456,Genome
527481,528044,CA_C0457,Genome
528231,529460,CA_C0458,Genome
529651,531534,CA_C0459,Genome
531742,533073,CA_C0460,Genome
533100,533498,CA_C0461,Genome
533562,534758,CA_C0462,Genome
534787,535833,CA_C0463,Genome
535958,536299,CA_C0464,Genome
536448,537239,CA_C0465,Genome
537439,537861,CA_C0466,Genome
537904,538713,CA_C0467,Genome
538726,539430,CA_C0468,Genome
539616,540191,CA_C0469,Genome
540203,540724,CA_C0470,Genome
541033,541605,CA_C0471,Genome
541608,543263,CA_C0472,Genome
543278,545374,CA_C0473,Genome
545469,548399,CA_C0474,Genome
548430,549485,CA_C0475,Genome
549510,550736,CA_C0476,Genome
550914,552218,CA_C0477,Genome
552299,552568,CA_C0478,Genome
552585,553940,CA_C0479,Genome
554397,556505,CA_C0480,Genome
556583,557044,CA_C0481,Genome
557045,557680,CA_C0482,Genome
557861,558790,CA_C0483,Genome
558867,560213,CA_C0484,Genome
560374,561225,CA_C0485,Genome
561312,561926,CA_C0486,Genome
561992,562240,CA_C0487,Genome
562582,562923,CA_C0488,Genome
563156,563530,CA_C0489,Genome
563532,565040,CA_C0490,Genome
565084,565719,CA_C0491,Genome
565849,567009,CA_C0492,Genome
567127,567447,CA_C0493,Genome
567407,567775,CA_C0494,Genome
567859,568494,CA_C0495,Genome
568648,569487,CA_C0496,Genome
569611,570297,CA_C0497,Genome
570287,571192,CA_C0498,Genome
571484,572695,CA_C0499,Genome
572851,574155,CA_C0500,Genome
574223,575047,CA_C0501,Genome
575260,577260,CA_C0502,Genome
577260,580079,CA_C0503,Genome
580148,580627,CA_C0504,Genome
580639,581841,CA_C0505,Genome
581843,583291,CA_C0506,Genome
583301,583909,CA_C0507,Genome
583923,585794,CA_C0508,Genome
585799,586533,CA_C0509,Genome
586587,587504,CA_C0510,Genome
587659,588543,CA_C0511,Genome
588540,589895,CA_C0512,Genome
589897,590850,CA_C0513,Genome
590854,592158,CA_C0514,Genome
592174,592458,CA_C0515,Genome
592466,595969,CA_C0516,Genome
596226,597185,CA_C0517,Genome
597275,598696,CA_C0518,Genome
598982,600256,CA_C0519,Genome
601296,601661,CA_C0521,Genome
601719,602516,CA_C0522,Genome
602657,604039,CA_C0523,Genome
604412,605098,CA_C0524,Genome
605085,606074,CA_C0525,Genome
606157,606840,CA_C0526,Genome
606837,609428,CA_C0527,Genome
609899,611377,CA_C0528,Genome
612737,613585,CA_C0529,Genome
613721,614170,CA_C0530,Genome
614278,615051,CA_C0531,Genome
615399,616994,CA_C0532,Genome
617072,618397,CA_C0533,Genome
618649,621255,CA_C0534,Genome
621428,622234,CA_C0535,Genome
622321,623079,CA_C0536,Genome
623237,624334,CA_C0537,Genome
624572,626167,CA_C0538,Genome
626638,628155,CA_C0539,Genome
628196,629794,CA_C0540,Genome
629931,630677,CA_C0541,Genome
630916,632643,CA_C0542,Genome
632838,634577,CA_C0543,Genome
634656,635141,CA_C0544,Genome
635283,635507,CA_C0545,Genome
635596,635946,CA_C0546,Genome
636111,636590,CA_C0547,Genome
636570,637004,CA_C0548,Genome
637029,637451,CA_C0549,Genome
637686,638114,CA_C0550,Genome
638950,639456,CA_C0551,Genome
639726,640922,CA_C0552,Genome
641041,641301,CA_C0553,Genome
641317,642291,CA_C0554,Genome
642455,643162,CA_C0555,Genome
643288,644046,CA_C0556,Genome
644174,645439,CA_C0557,Genome
646068,646562,CA_C0558,Genome
646645,647088,CA_C0559,Genome
647039,648364,CA_C0560,Genome
649182,651818,CA_C0561,Genome
651927,652226,CA_C0562,Genome
652208,652714,CA_C0563,Genome
652910,653611,CA_C0564,Genome
653595,655094,CA_C0565,Genome
655141,656250,CA_C0566,Genome
656355,656984,CA_C0567,Genome
657022,658101,CA_C0568,Genome
658307,659131,CA_C0569,Genome
659283,661280,CA_C0570,Genome
661465,661788,CA_C0571,Genome
661781,662356,CA_C0572,Genome
662368,663288,CA_C0573,Genome
663498,664106,CA_C0574,Genome
665101,667131,CA_C0577,Genome
667538,671176,CA_C0578,Genome
671508,673448,CA_C0579,Genome
673453,674628,CA_C0580,Genome
674625,676007,CA_C0581,Genome
676346,677293,CA_C0582,Genome
677317,678129,CA_C0583,Genome
678160,678762,CA_C0584,Genome
678868,679743,CA_C0585,Genome
679725,680186,CA_C0586,Genome
680364,680792,CA_C0587,Genome
680811,681431,CA_C0588,Genome
681439,682251,CA_C0589,Genome
682526,683677,CA_C0590,Genome
683684,684325,CA_C0591,Genome
684366,685571,CA_C0592,Genome
685588,686055,CA_C0593,Genome
686139,687014,CA_C0594,Genome
687014,687574,CA_C0595,Genome
687751,689274,CA_C0596,Genome
689267,690361,CA_C0597,Genome
690348,691454,CA_C0598,Genome
691644,692021,CA_C0599,Genome
692039,693157,CA_C0600,Genome
694062,695648,CA_C0601,Genome
695723,697588,CA_C0602,Genome
697543,699708,CA_C0603,Genome
699769,700434,CA_C0604,Genome
700464,701336,CA_C0605,Genome
701392,702603,CA_C0606,Genome
702735,704036,CA_C0607,Genome
704480,705775,CA_C0608,Genome
706105,714717,CA_C0609,Genome
714766,715320,CA_C0610,Genome
715335,716039,CA_C0611,Genome
716032,716385,CA_C0612,Genome
716597,716893,CA_C0613,Genome
716913,717143,CA_C0614,Genome
717793,718218,CA_C0616,Genome
718453,719133,CA_C0617,Genome
719161,719955,CA_C0618,Genome
719945,720706,CA_C0619,Genome
720726,721742,CA_C0620,Genome
721814,723313,CA_C0621,Genome
723476,725524,CA_C0622,Genome
725669,725878,CA_C0623,Genome
726150,728027,CA_C0625,Genome
728417,729448,CA_C0626,Genome
729593,730027,CA_C0627,Genome
730162,731415,CA_C0628,Genome
731464,732270,CA_C0629,Genome
732465,734045,CA_C0630,Genome
734242,736560,CA_C0631,Genome
736549,737196,CA_C0632,Genome
737279,738244,CA_C0633,Genome
738862,739419,CA_C0634,Genome
739469,739639,CA_C0635,Genome
739949,741034,CA_C0636,Genome
741074,742297,CA_C0637,Genome
742538,744391,CA_C0638,Genome
744438,744710,CA_C0639,Genome
744715,745410,CA_C0640,Genome
745533,746327,CA_C0641,Genome
746732,747520,CA_C0642,Genome
747544,748650,CA_C0643,Genome
748749,750152,CA_C0644,Genome
750149,751261,CA_C0645,Genome
751312,753750,CA_C0646,Genome
754231,754737,CA_C0647,Genome
754758,755345,CA_C0648,Genome
755443,756294,CA_C0649,Genome
756294,756836,CA_C0650,Genome
757016,758053,CA_C0651,Genome
758108,758698,CA_C0652,Genome
758945,759610,CA_C0653,Genome
759604,761145,CA_C0654,Genome
762241,762444,CA_C0655,Genome
764963,766519,CA_C0658,Genome
766556,767875,CA_C0659,Genome
767958,768161,CA_C0660,Genome
768366,770249,CA_C0661,Genome
770436,771791,CA_C0662,Genome
771822,772301,CA_C0663,Genome
772540,773898,CA_C0664,Genome
774022,774891,CA_C0665,Genome
774895,775722,CA_C0666,Genome
775734,776870,CA_C0667,Genome
776876,778096,CA_C0668,Genome
778181,778405,CA_C0669,Genome
778529,778909,CA_C0670,Genome
778920,779594,CA_C0671,Genome
779748,781409,CA_C0672,Genome
781431,782114,CA_C0673,Genome
782116,782988,CA_C0674,Genome
783046,783408,CA_C0675,Genome
783453,783992,CA_C0676,Genome
784196,784885,CA_C0677,Genome
784934,785362,CA_C0678,Genome
785582,786469,CA_C0679,Genome
786574,787224,CA_C0680,Genome
787296,787661,CA_C0681,Genome
787791,789008,CA_C0682,Genome
791143,792369,CA_C0685,Genome
792688,793392,CA_C0686,Genome
793729,794289,CA_C0687,Genome
794546,795265,CA_C0688,Genome
795266,795901,CA_C0689,Genome
795946,796977,CA_C0690,Genome
797121,798356,CA_C0691,Genome
799019,800422,CA_C0692,Genome
800592,801596,CA_C0693,Genome
801646,802995,CA_C0694,Genome
803138,804586,CA_C0695,Genome
804608,806086,CA_C0696,Genome
806192,807214,CA_C0697,Genome
807382,808212,CA_C0698,Genome
808268,809278,CA_C0699,Genome
809418,809900,CA_C0700,Genome
809917,810756,CA_C0701,Genome
811003,812076,CA_C0702,Genome
812161,813705,CA_C0703,Genome
813692,814789,CA_C0704,Genome
814782,815714,CA_C0705,Genome
816062,818230,CA_C0706,Genome
818506,819900,CA_C0707,Genome
820041,821075,CA_C0708,Genome
821221,822225,CA_C0709,Genome
822356,823549,CA_C0710,Genome
823748,824494,CA_C0711,Genome
824683,826215,CA_C0712,Genome
826337,827632,CA_C0713,Genome
827757,827993,CA_C0714,Genome
828112,830304,CA_C0715,Genome
830436,830903,CA_C0716,Genome
830993,832516,CA_C0717,Genome
833901,834641,CA_C0718,Genome
835213,836358,CA_C0719,Genome
837343,837879,CA_C0722,Genome
838031,838588,CA_C0723,Genome
838789,839346,CA_C0724,Genome
839513,840052,CA_C0725,Genome
840170,840640,CA_C0726,Genome
840890,842272,CA_C0727,Genome
842425,843243,CA_C0728,Genome
843290,844636,CA_C0729,Genome
844892,846043,CA_C0730,Genome
846280,848457,CA_C0731,Genome
848459,849364,CA_C0732,Genome
849354,851156,CA_C0733,Genome
851167,852582,CA_C0734,Genome
852582,854018,CA_C0735,Genome
854069,854899,CA_C0736,Genome
855069,856400,CA_C0737,Genome
856676,857596,CA_C0738,Genome
857808,858914,CA_C0739,Genome
859066,859353,CA_C0740,Genome
859573,860397,CA_C0741,Genome
860614,862389,CA_C0742,Genome
862627,864042,CA_C0743,Genome
864107,865453,CA_C0744,Genome
865592,866473,CA_C0745,Genome
866550,868895,CA_C0746,Genome
869373,870773,CA_C0747,Genome
871093,871818,CA_C0748,Genome
871872,872774,CA_C0749,Genome
872849,873517,CA_C0750,Genome
873567,875132,CA_C0751,Genome
875626,876423,CA_C0752,Genome
876426,877517,CA_C0753,Genome
877825,879174,CA_C0754,Genome
879229,879897,CA_C0755,Genome
879914,880456,CA_C0756,Genome
880665,881462,CA_C0757,Genome
881675,881869,CA_C0758,Genome
881870,882496,CA_C0759,Genome
882501,883055,CA_C0760,Genome
883208,883639,CA_C0761,Genome
883707,884942,CA_C0762,Genome
885087,885560,CA_C0763,Genome
886021,887256,CA_C0764,Genome
887475,888650,CA_C0765,Genome
888738,889118,CA_C0766,Genome
889162,890292,CA_C0767,Genome
890480,891370,CA_C0768,Genome
891529,892809,CA_C0769,Genome
892837,893565,CA_C0770,Genome
893874,894842,CA_C0771,Genome
894839,895648,CA_C0772,Genome
895667,896392,CA_C0773,Genome
896439,897701,CA_C0774,Genome
897726,898541,CA_C0775,Genome
898562,899308,CA_C0776,Genome
899444,900076,CA_C0777,Genome
900231,901988,CA_C0778,Genome
902024,902659,CA_C0779,Genome
903118,904320,CA_C0780,Genome
904672,905502,CA_C0781,Genome
905518,905916,CA_C0782,Genome
906064,906699,CA_C0783,Genome
906689,907813,CA_C0784,Genome
908101,908655,CA_C0785,Genome
908715,909086,CA_C0786,Genome
909154,909603,CA_C0787,Genome
909926,910936,CA_C0788,Genome
910933,911937,CA_C0789,Genome
912020,912943,CA_C0790,Genome
912944,913738,CA_C0791,Genome
914049,914891,CA_C0792,Genome
915054,916100,CA_C0793,Genome
916194,917141,CA_C0794,Genome
917270,918124,CA_C0795,Genome
918565,919152,CA_C0796,Genome
919166,921685,CA_C0797,Genome
921687,922304,CA_C0798,Genome
922306,923181,CA_C0799,Genome
923174,924067,CA_C0800,Genome
924079,926649,CA_C0801,Genome
926637,927713,CA_C0802,Genome
927763,928215,CA_C0803,Genome
928556,930250,CA_C0804,Genome
930520,932526,CA_C0805,Genome
933945,934142,CA_C0807,Genome
934376,934591,CA_C0808,Genome
934635,935642,CA_C0809,Genome
935667,937955,CA_C0810,Genome
937955,939040,CA_C0811,Genome
939359,940684,CA_C0812,Genome
940839,941387,CA_C0813,Genome
941787,942791,CA_C0814,Genome
942955,944454,CA_C0815,Genome
944493,945221,CA_C0816,Genome
945587,945673,CA_C0817,Genome
945874,947589,CA_C0818,Genome
947793,948908,CA_C0819,Genome
949139,949888,CA_C0820,Genome
950070,950672,CA_C0821,Genome
950692,951396,CA_C0822,Genome
951398,954748,CA_C0823,Genome
954854,955174,CA_C0824,Genome
955231,956364,CA_C0825,Genome
956696,957808,CA_C0826,Genome
958092,958955,CA_C0827,Genome
959268,960194,CA_C0828,Genome
960474,961400,CA_C0829,Genome
961417,962106,CA_C0830,Genome
962099,963199,CA_C0831,Genome
963263,963985,CA_C0832,Genome
964104,964841,CA_C0833,Genome
964912,965598,CA_C0834,Genome
965598,966656,CA_C0835,Genome
966821,967279,CA_C0836,Genome
967357,968421,CA_C0837,Genome
968418,969200,CA_C0838,Genome
969194,970027,CA_C0839,Genome
970014,971072,CA_C0840,Genome
971103,971642,CA_C0841,Genome
972001,972360,CA_C0842,Genome
972627,973097,CA_C0843,Genome
973115,973390,CA_C0844,Genome
973439,973951,CA_C0845,Genome
